location_sk,address_bk,city,province_name,province_code,postal_code,country_code
1,1,Buenos Aires,Buenos Aires,BA,1001,AR
2,2,Córdoba,Córdoba,CBA,1002,AR
3,3,Santa Fe,Santa Fe,SF,1003,AR
4,4,Mendoza,Mendoza,MZA,1004,AR
5,1001,Córdoba,Córdoba,CBA,4934,AR
6,1002,Rafaela,Santa Fe,SF,2071,AR
7,1003,CABA,Buenos Aires,BA,7131,AR
8,1004,Río Cuarto,Córdoba,CBA,9773,AR
9,1005,Santa Fe,Santa Fe,SF,3071,AR
10,1006,Godoy Cruz,Mendoza,MZA,2062,AR
11,1007,Mar del Plata,Buenos Aires,BA,3932,AR
12,1008,Río Cuarto,Córdoba,CBA,5396,AR
13,1009,Río Cuarto,Córdoba,CBA,8406,AR
14,1010,La Plata,Buenos Aires,BA,7129,AR
15,1011,Córdoba,Córdoba,CBA,4771,AR
16,1012,Mar del Plata,Buenos Aires,BA,8086,AR
17,1013,La Plata,Buenos Aires,BA,3942,AR
18,1014,Mar del Plata,Buenos Aires,BA,9220,AR
19,1015,CABA,Buenos Aires,BA,2168,AR
20,1016,CABA,Buenos Aires,BA,5096,AR
21,1017,Río Cuarto,Córdoba,CBA,9898,AR
22,1018,La Plata,Buenos Aires,BA,1194,AR
23,1019,Córdoba,Córdoba,CBA,8773,AR
24,1020,Mar del Plata,Buenos Aires,BA,2406,AR
25,1021,Santa Fe,Santa Fe,SF,1493,AR
26,1022,CABA,Buenos Aires,BA,6810,AR
27,1023,La Plata,Buenos Aires,BA,6342,AR
28,1024,Córdoba,Córdoba,CBA,7247,AR
29,1025,Mendoza,Mendoza,MZA,2779,AR
30,1026,Villa Carlos Paz,Córdoba,CBA,3910,AR
31,1027,Rafaela,Santa Fe,SF,2138,AR
32,1028,CABA,Buenos Aires,BA,8449,AR
33,1029,CABA,Buenos Aires,BA,3572,AR
34,1030,La Plata,Buenos Aires,BA,4382,AR
35,1031,Santa Fe,Santa Fe,SF,3601,AR
36,1032,Río Cuarto,Córdoba,CBA,3337,AR
37,1033,La Plata,Buenos Aires,BA,9043,AR
38,1034,CABA,Buenos Aires,BA,6681,AR
39,1035,CABA,Buenos Aires,BA,8501,AR
40,1036,Mendoza,Mendoza,MZA,4927,AR
41,1037,Mar del Plata,Buenos Aires,BA,4559,AR
42,1038,Mar del Plata,Buenos Aires,BA,9264,AR
43,1039,CABA,Buenos Aires,BA,8572,AR
44,1040,Mar del Plata,Buenos Aires,BA,4185,AR
45,1041,La Plata,Buenos Aires,BA,8606,AR
46,1042,CABA,Buenos Aires,BA,3297,AR
47,1043,Rosario,Santa Fe,SF,3903,AR
48,1044,Mar del Plata,Buenos Aires,BA,5476,AR
49,1045,CABA,Buenos Aires,BA,8242,AR
50,1046,Rafaela,Santa Fe,SF,8274,AR
51,1047,Córdoba,Córdoba,CBA,4908,AR
52,1048,La Plata,Buenos Aires,BA,2035,AR
53,1049,Mendoza,Mendoza,MZA,7810,AR
54,1050,La Plata,Buenos Aires,BA,4393,AR
55,1051,La Plata,Buenos Aires,BA,6842,AR
56,1052,La Plata,Buenos Aires,BA,8516,AR
57,1053,La Plata,Buenos Aires,BA,7735,AR
58,1054,Santa Fe,Santa Fe,SF,5127,AR
59,1055,Río Cuarto,Córdoba,CBA,6440,AR
60,1056,Río Cuarto,Córdoba,CBA,6490,AR
61,1057,Río Cuarto,Córdoba,CBA,9248,AR
62,1058,Mar del Plata,Buenos Aires,BA,4990,AR
63,1059,La Plata,Buenos Aires,BA,7156,AR
64,1060,Córdoba,Córdoba,CBA,3199,AR
65,1061,CABA,Buenos Aires,BA,1388,AR
66,1062,Santa Fe,Santa Fe,SF,5068,AR
67,1063,Villa Carlos Paz,Córdoba,CBA,1099,AR
68,1064,Rosario,Santa Fe,SF,4345,AR
69,1065,Mar del Plata,Buenos Aires,BA,7983,AR
70,1066,Mar del Plata,Buenos Aires,BA,5079,AR
71,1067,La Plata,Buenos Aires,BA,6891,AR
72,1068,La Plata,Buenos Aires,BA,3553,AR
73,1069,La Plata,Buenos Aires,BA,3878,AR
74,1070,La Plata,Buenos Aires,BA,2178,AR
75,1071,La Plata,Buenos Aires,BA,1210,AR
76,1072,Villa Carlos Paz,Córdoba,CBA,7113,AR
77,1073,Mar del Plata,Buenos Aires,BA,3039,AR
78,1074,Mendoza,Mendoza,MZA,9349,AR
79,1075,Villa Carlos Paz,Córdoba,CBA,5043,AR
80,1076,La Plata,Buenos Aires,BA,5281,AR
81,1077,Mendoza,Mendoza,MZA,1202,AR
82,1078,Rafaela,Santa Fe,SF,9495,AR
83,1079,Rosario,Santa Fe,SF,9202,AR
84,1080,Villa Carlos Paz,Córdoba,CBA,2456,AR
85,1081,Villa Carlos Paz,Córdoba,CBA,7520,AR
86,1082,CABA,Buenos Aires,BA,7845,AR
87,1083,La Plata,Buenos Aires,BA,4053,AR
88,1084,CABA,Buenos Aires,BA,4041,AR
89,1085,CABA,Buenos Aires,BA,2789,AR
90,1086,CABA,Buenos Aires,BA,6605,AR
91,1087,Villa Carlos Paz,Córdoba,CBA,2000,AR
92,1088,Rosario,Santa Fe,SF,9557,AR
93,1089,Mar del Plata,Buenos Aires,BA,8036,AR
94,1090,La Plata,Buenos Aires,BA,7200,AR
95,1091,Godoy Cruz,Mendoza,MZA,3275,AR
