order_bk,customer_sk,store_sk,channel_sk,order_date_sk,subtotal_amount,shipping_fee,discount_amount,total_amount,currency_code,status
1000000000,356,,1,331,,1200.0,,63636.0,ARS,FULFILLED
1000000001,601,,1,31,,900.0,,78146.4,ARS,CREATED
1000000002,1234,,1,423,,1500.0,,32064.6,ARS,FULFILLED
1000000003,156,,1,426,,0.0,,30855.0,ARS,FULFILLED
1000000004,616,,2,90,,0.0,,53451.75,ARS,FULFILLED
1000000005,614,,2,72,,0.0,,29040.0,ARS,FULFILLED
1000000006,188,,1,562,,1200.0,,18442.5,ARS,REFUNDED
1000000007,17,,1,316,,1200.0,,17535.0,ARS,FULFILLED
1000000008,1148,,1,238,,1200.0,,109011.0,ARS,FULFILLED
1000000009,1037,,1,90,,1200.0,,16718.25,ARS,PAID
1000000010,1336,,2,73,,0.0,,17787.0,ARS,REFUNDED
1000000011,1239,,2,534,,0.0,,41309.4,ARS,FULFILLED
1000000012,1426,,2,222,,0.0,,42688.8,ARS,FULFILLED
1000000013,862,,2,448,,0.0,,123283.88,ARS,PAID
1000000014,181,,1,596,,900.0,,15129.6,ARS,PAID
1000000015,700,,1,259,,1200.0,,29659.2,ARS,CANCELLED
1000000016,475,,1,605,,1200.0,,28642.8,ARS,FULFILLED
1000000017,753,,2,416,,0.0,,80912.7,ARS,FULFILLED
1000000018,1151,,1,196,,900.0,,100107.9,ARS,CANCELLED
1000000019,793,,1,477,,1200.0,,46023.24,ARS,FULFILLED
1000000020,866,,1,127,,0.0,,59895.0,ARS,FULFILLED
1000000021,1110,,1,632,,1200.0,,29659.2,ARS,FULFILLED
1000000022,854,,2,91,,0.0,,29040.0,ARS,REFUNDED
1000000023,379,,2,552,,0.0,,82764.0,ARS,FULFILLED
1000000024,441,,2,427,,0.0,,14229.6,ARS,FULFILLED
1000000025,125,,1,604,,1200.0,,86005.88,ARS,FULFILLED
1000000026,1201,,1,347,,1200.0,,17535.0,ARS,FULFILLED
1000000027,1055,,1,337,,900.0,,28488.0,ARS,FULFILLED
1000000028,382,,1,138,,0.0,,14520.0,ARS,FULFILLED
1000000029,1456,,1,623,,900.0,,79235.4,ARS,FULFILLED
1000000030,1377,,2,526,,0.0,,41382.0,ARS,PAID
1000000031,1375,,2,496,,0.0,,28459.2,ARS,PAID
1000000032,821,,1,440,,1200.0,,33870.0,ARS,FULFILLED
1000000033,1475,,2,160,,0.0,,17787.0,ARS,FULFILLED
1000000034,634,,2,322,,0.0,,103318.88,ARS,FULFILLED
1000000035,585,,2,12,,0.0,,26136.0,ARS,FULFILLED
1000000036,180,,1,268,,900.0,,61158.0,ARS,FULFILLED
1000000037,482,,1,26,,1200.0,,31082.16,ARS,FULFILLED
1000000038,620,,2,33,,0.0,,14229.6,ARS,FULFILLED
1000000039,603,,2,144,,0.0,,71583.6,ARS,FULFILLED
1000000040,1028,,1,64,,1200.0,,14994.0,ARS,CANCELLED
1000000041,1005,,2,14,,0.0,,29657.1,ARS,FULFILLED
1000000042,790,,1,271,,1500.0,,13914.6,ARS,FULFILLED
1000000043,665,,1,142,,900.0,,48816.0,ARS,PAID
1000000044,562,,1,611,,1500.0,,90435.0,ARS,FULFILLED
1000000045,998,,1,32,,900.0,,44460.0,ARS,FULFILLED
1000000046,276,,1,12,,0.0,,39930.0,ARS,FULFILLED
1000000047,1469,,2,68,,0.0,,13068.0,ARS,FULFILLED
1000000048,408,,2,257,,0.0,,28459.2,ARS,CREATED
1000000049,1360,,2,224,,0.0,,49005.0,ARS,FULFILLED
