order_bk,paid_date_sk,status,payment_method,amount,transaction_ref
1000000000,332.0,PAID,,63636.0,TX-1HW3GM7Q6LFJ
1000000001,,PENDING,,78146.4,
1000000002,425.0,PAID,,32064.6,TX-8PBOWVHD7B4I
1000000003,427.0,PAID,,30855.0,TX-SQ97NPWQ6YK8
1000000004,92.0,PAID,,53451.75,TX-F7761XS1CXDC
1000000005,73.0,PAID,,29040.0,TX-RNWJHS1F8G0Y
1000000006,564.0,REFUNDED,,18442.5,TX-X2AJGZ36N3FR
1000000007,319.0,PAID,,17535.0,TX-ZRHVYPGQTDRK
1000000008,238.0,PAID,,109011.0,TX-CHL80ZD8IP5O
1000000009,91.0,PAID,,16718.25,TX-J2VP8C6ROCZQ
1000000010,74.0,REFUNDED,,17787.0,TX-1UN1COQAVK65
1000000011,534.0,PAID,,41309.4,TX-U5CXUHGK42O6
1000000012,225.0,PAID,,42688.8,TX-GS664FN80M9E
1000000013,448.0,PAID,,123283.88,TX-BZOPSO6JPRZD
1000000014,598.0,PAID,,15129.6,TX-AD0J2NGELHNC
1000000015,,FAILED,,29659.2,
1000000016,607.0,PAID,,28642.8,TX-Y2BIADVO9F18
1000000017,417.0,PAID,,80912.7,TX-O7MTCOYJ61AJ
1000000018,,FAILED,,100107.9,
1000000019,479.0,PAID,,46023.24,TX-EMS8E80975XQ
1000000020,127.0,PAID,,59895.0,TX-EZKXQ80I4527
1000000021,634.0,PAID,,29659.2,TX-BE5NW8R3MU50
1000000022,93.0,REFUNDED,,29040.0,TX-I1Q2G15R83Y7
1000000023,555.0,PAID,,82764.0,TX-3TFFR8COO0FP
1000000024,428.0,PAID,,14229.6,TX-91AAY0A1V9Q3
1000000025,605.0,PAID,,86005.88,TX-SVYYRKPOYWM4
1000000026,350.0,PAID,,17535.0,TX-9O9IH4O8JG78
1000000027,337.0,PAID,,28488.0,TX-C245O7O7GRI9
1000000028,139.0,PAID,,14520.0,TX-J6HQJG5HEW5S
1000000029,623.0,PAID,,79235.4,TX-DRZ2QYPBHF3H
1000000030,528.0,PAID,,41382.0,TX-13PMNCYBLOP6
1000000031,499.0,PAID,,28459.2,TX-PFV0D0IML4NF
1000000032,441.0,PAID,,33870.0,TX-UM2KN2XHQSHB
1000000033,160.0,PAID,,17787.0,TX-PO2UBATPZ00H
1000000034,324.0,PAID,,103318.88,TX-922WAHDO61XN
1000000035,13.0,PAID,,26136.0,TX-Y8T15028LSUX
1000000036,270.0,PAID,,61158.0,TX-WSO0CISUVYK2
1000000037,27.0,PAID,,31082.16,TX-VCRJJP6E0CCG
1000000038,33.0,PAID,,14229.6,TX-DIL01AV2R2A9
1000000039,144.0,PAID,,71583.6,TX-GO2N5MUY0V3U
1000000040,,FAILED,,14994.0,
1000000041,15.0,PAID,,29657.1,TX-B543BB9H5C7R
1000000042,272.0,PAID,,13914.6,TX-X79V37PRDDTB
1000000043,143.0,PAID,,48816.0,TX-3MPXSV4DAUND
1000000044,614.0,PAID,,90435.0,TX-4JUJUM3AY4L6
1000000045,34.0,PAID,,44460.0,TX-6G4YWKOODVMB
1000000046,15.0,PAID,,39930.0,TX-OAGVE3OT79YR
1000000047,68.0,PAID,,13068.0,TX-AL44LOCGN4MF
1000000048,,PENDING,,28459.2,
1000000049,226.0,PAID,,49005.0,TX-66ID36XC53T2
1000000050,207.0,PAID,,35685.0,TX-7PTIHWUY0CDA
1000000051,262.0,PAID,,38252.7,TX-F093FL0ELLCQ
1000000052,311.0,PAID,,85377.6,TX-LC4H6TVD1ZOD
1000000053,,FAILED,,33570.0,
1000000054,78.0,PAID,,14941.08,TX-BABHWIKVNZZ3
1000000055,571.0,PAID,,51727.5,TX-RJQ9HE6VB7HF
1000000056,471.0,PAID,,87140.25,TX-0RAAOO91OA8N
1000000057,420.0,PAID,,34394.25,TX-UXBOXO5T9DHX
1000000058,,FAILED,,53953.5,
1000000059,185.0,PAID,,77682.0,TX-7033ZUJCIUHD
1000000060,,FAILED,,35283.6,
1000000061,428.0,PAID,,15720.0,TX-5BCIDL8LGH8R
1000000062,359.0,PAID,,54450.0,TX-T7NWUQIQ9VOB
1000000063,153.0,PAID,,46323.24,TX-D4XNYWF5QEYL
1000000064,432.0,PAID,,19168.5,TX-N8533KHZH4J5
1000000065,262.0,PAID,,43888.8,TX-JPJLBWJ1IRVA
1000000066,,FAILED,,43888.8,
1000000067,468.0,REFUNDED,,18687.0,TX-MZNG9JBD25OS
1000000068,339.0,PAID,,102166.35,TX-PRTYVEKSVQUQ
1000000069,166.0,PAID,,53361.0,TX-4QPQRW6T77VI
1000000070,575.0,PAID,,15420.0,TX-4N53JR8S1YKT
1000000071,206.0,PAID,,14229.6,TX-222J0CRS0SJJ
1000000072,35.0,PAID,,17018.25,TX-P43FW2ENH6BE
1000000073,344.0,PAID,,19576.35,TX-HU7AKHXTZ1YN
1000000074,349.0,PAID,,69071.4,TX-TR4GSE74V5DM
1000000075,449.0,PAID,,36474.0,TX-SK0540SEJOKI
1000000076,62.0,PAID,,29659.2,TX-N5EHQ403IVWA
1000000077,341.0,PAID,,28459.2,TX-MBGQQW2NEF1F
1000000078,378.0,PAID,,49186.5,TX-IKM85NPGE98X
1000000079,627.0,PAID,,40404.0,TX-UIU52W85YPS8
1000000080,316.0,PAID,,18687.0,TX-X6TWS79CTHK8
1000000081,399.0,PAID,,64788.0,TX-1VPIVXSYTP4J
1000000082,630.0,PAID,,42582.0,TX-472J8NP9S8E9
1000000083,44.0,REFUNDED,,47301.0,TX-SBJLVY6L1XXX
1000000084,332.0,PAID,,19050.0,TX-GJJBKDYPJZ5E
1000000085,427.0,PAID,,16441.08,TX-4YYBKHTAB92W
1000000086,598.0,PAID,,14268.0,TX-H6SGL5WR6ZEB
1000000087,,FAILED,,14994.0,
1000000088,34.0,PAID,,69144.0,TX-YO60F0EA8647
1000000089,537.0,PAID,,18442.5,TX-JKULC5L36UG4
1000000090,29.0,PAID,,45458.25,TX-IO1AR1ZGZBUT
1000000091,50.0,PAID,,110342.92,TX-NDNQBVR081I1
1000000092,167.0,PAID,,37200.0,TX-7539MH4QX495
1000000093,320.0,PAID,,102456.75,TX-V4AUXB59ROGA
1000000094,364.0,PAID,,90387.0,TX-LBRHLVO2Y93F
1000000095,635.0,PAID,,59897.1,TX-MBMP050ORNEE
1000000096,510.0,PAID,,42688.8,TX-14WCNJXENRUU
1000000097,166.0,PAID,,18676.35,TX-TS02NI4GYBVJ
1000000098,383.0,PAID,,44351.1,TX-2EHPQP6AIXY3
1000000099,59.0,PAID,,14520.0,TX-6QBJB2NZNX9G
1000000100,,FAILED,,28909.08,
1000000101,91.0,PAID,,44460.0,TX-N8LT25CDZBGQ
1000000102,325.0,PAID,,43888.8,TX-UA4DQXIN6727
1000000103,,PENDING,,37243.8,
1000000104,84.0,REFUNDED,,37500.0,TX-GYPM2FM72C6Z
1000000105,133.0,PAID,,27336.0,TX-HSNZ6UUKGLAE
1000000106,407.0,PAID,,19050.0,TX-886LJXE6L2ZU
1000000107,143.0,PAID,,42064.2,TX-W9F9L785FTPB
1000000108,551.0,PAID,,56029.05,TX-QM24BIHB24AY
1000000109,115.0,PAID,,39930.0,TX-18ZITZHX2G7U
1000000110,,FAILED,,82364.7,
1000000111,356.0,PAID,,19876.35,TX-LLQCAQ4XRN0T
1000000112,427.0,PAID,,92891.7,TX-MH4GBLCKUHYD
1000000113,,FAILED,,15652.56,
1000000114,263.0,PAID,,11761.2,TX-42Q8BZ53GWTF
1000000115,50.0,REFUNDED,,27636.0,TX-PLUI46HDV8I9
1000000116,186.0,PAID,,49116.0,TX-FCJTQEJPPTTX
1000000117,386.0,PAID,,30240.0,TX-AKHIN8QKBR9F
1000000118,596.0,PAID,,47857.68,TX-5HRXEHTTUWX2
1000000119,563.0,PAID,,17787.0,TX-IWD52SW6D9WI
1000000120,112.0,PAID,,14229.6,TX-ILPQFBQW1HUK
1000000121,355.0,PAID,,45520.2,TX-921BB2YAJ1WR
1000000122,608.0,PAID,,43560.0,TX-89TOCP8FP1K8
1000000123,,FAILED,,18987.0,
1000000124,37.0,PAID,,67367.64,TX-1XC2I92PV07U
1000000125,193.0,PAID,,62073.0,TX-CII1J0F53QB3
1000000126,164.0,PAID,,18150.0,TX-E46XAAD0XH2M
1000000127,60.0,PAID,,69988.5,TX-3DYYWZL0OZT4
1000000128,,FAILED,,101470.2,
1000000129,629.0,PAID,,76858.8,TX-RRK6UJVBP3BA
1000000130,509.0,PAID,,14701.5,TX-J90VB1C4W9I4
1000000131,25.0,PAID,,47916.0,TX-Y1HNXIYYVIWS
1000000132,210.0,PAID,,33216.6,TX-M2V0MW405G00
1000000133,168.0,PAID,,18150.0,TX-Z1JB0OXDFNS8
1000000134,8.0,PAID,,75358.8,TX-98P7PRJHHZH1
1000000135,153.0,PAID,,39930.0,TX-1CGWJ9S8U287
1000000136,388.0,PAID,,34485.0,TX-BW4Q46DERG87
1000000137,323.0,PAID,,14229.6,TX-V1KGVXLOBICL
1000000138,6.0,PAID,,42882.0,TX-PXS2LYM9VUDM
1000000139,99.0,PAID,,17535.0,TX-6FRNX7VHUKP5
1000000140,417.0,PAID,,16008.3,TX-KDQIUT6HRCFU
1000000141,338.0,REFUNDED,,14374.8,TX-TJABWHM24N2G
1000000142,543.0,REFUNDED,,62854.26,TX-ATMX5MVNFKMN
1000000143,160.0,PAID,,80586.0,TX-523ARBBR7DKI
1000000144,,FAILED,,35937.0,
1000000145,568.0,PAID,,37800.0,TX-30JNSPSKTRCG
1000000146,126.0,PAID,,100951.88,TX-XAZ8J2P7RN3J
1000000147,343.0,PAID,,72701.4,TX-AY74FPLLGRCU
1000000148,541.0,PAID,,43888.8,TX-FO8HBF5JCDZ9
1000000149,389.0,PAID,,17235.0,TX-Q8HCQUTXQ7XL
1000000150,517.0,PAID,,39131.4,TX-16PJPVWP8VO5
1000000151,108.0,PAID,,42688.8,TX-D5E93RC1Y9LZ
1000000152,9.0,PAID,,11761.2,TX-60N330PGBOPH
1000000153,,FAILED,,13068.0,
1000000154,184.0,PAID,,51455.25,TX-C5TG8BKA8V0I
1000000155,43.0,PAID,,15420.0,TX-QDUILY7E5RXR
1000000156,303.0,PAID,,51727.5,TX-38M7D53IIBFW
1000000157,,FAILED,,71692.5,
1000000158,116.0,PAID,,36300.0,TX-2D7GG3Z4ZLDA
1000000159,196.0,PAID,,16141.08,TX-WQF78OSLQBW6
1000000160,166.0,PAID,,35574.0,TX-OTEFX8XIJPHG
1000000161,296.0,PAID,,55350.0,TX-ELH913SD09OY
1000000162,579.0,PAID,,27588.0,TX-8EDJM7W4HXIO
1000000163,58.0,PAID,,27036.0,TX-FA2N1L9GFVND
1000000164,420.0,PAID,,77130.0,TX-YH73YULSS506
1000000165,606.0,PAID,,29959.2,TX-RBYQGYIW59OD
1000000166,576.0,PAID,,53744.25,TX-D8WL2IKBUTZI
1000000167,,FAILED,,58172.85,
1000000168,,FAILED,,50205.0,
1000000169,191.0,PAID,,14268.0,TX-XQWOUYAADU90
1000000170,89.0,PAID,,36300.0,TX-6YQEF864BWX0
1000000171,,PENDING,,15429.6,
1000000172,128.0,PAID,,28488.0,TX-0DQD29Q3T08A
1000000173,535.0,PAID,,39315.0,TX-ALLSSFK7QIRJ
1000000174,252.0,PAID,,14229.6,TX-7EGA4TIAD1CG
1000000175,154.0,PAID,,15420.0,TX-4RCDBOT74U6U
1000000176,424.0,PAID,,17968.5,TX-RZQOC4EU0DBF
1000000177,330.0,PAID,,16718.25,TX-8KSFQE50C7WX
1000000178,490.0,PAID,,16335.0,TX-UOPZ2LNTJYIU
1000000179,591.0,PAID,,88746.0,TX-3467WCDPI2EY
1000000180,143.0,PAID,,31692.0,TX-JKFCQJUKURK1
1000000181,318.0,PAID,,29359.2,TX-XWTR1UEIAQ3J
1000000182,254.0,PAID,,31546.8,TX-7L09W7WAP0O0
1000000183,302.0,PAID,,32670.0,TX-A0GOAJB6RU3T
1000000184,499.0,PAID,,16335.0,TX-W1W31Q5F7XKK
1000000185,202.0,PAID,,73611.24,TX-QLQP66ZVGIMR
1000000186,213.0,PAID,,14694.0,TX-T1WW8PAWHLQ7
1000000187,411.0,REFUNDED,,39204.0,TX-LNM2XQQ0VBQ6
1000000188,603.0,PAID,,32670.0,TX-CGL3TKQVXCRL
1000000189,125.0,PAID,,45723.24,TX-RYV7WF3XMBAU
1000000190,158.0,PAID,,14229.6,TX-ACMA2H5CSRRQ
1000000191,,FAILED,,106896.24,
1000000192,70.0,PAID,,14520.0,TX-R97RQQIO1QLM
1000000193,46.0,PAID,,40404.0,TX-FWUNIBW1GIX5
1000000194,624.0,PAID,,54450.0,TX-UI9XQ56QBUBU
1000000195,426.0,PAID,,56666.4,TX-L3XKKJLIVBCN
1000000196,595.0,PAID,,37500.0,TX-R18606ZCYXQ6
1000000197,101.0,PAID,,14268.0,TX-511R6MDMB6O7
1000000198,34.0,PAID,,36183.6,TX-HVOGE67SNVCE
1000000199,445.0,PAID,,59280.0,TX-GMUCJI7EKVZA
1000000200,271.0,PAID,,27036.0,TX-FVLC254ZH0QA
1000000201,322.0,REFUNDED,,50749.5,TX-UHXXCDXF1Q2B
1000000202,454.0,PAID,,43560.0,TX-9BINMYXDHZ0E
1000000203,323.0,PAID,,39204.0,TX-QCZ1LK4KTCM2
1000000204,,FAILED,,50205.0,
1000000205,275.0,PAID,,17787.0,TX-ZU368UUJ2G43
1000000206,575.0,PAID,,29659.2,TX-811NAE2DWBNU
1000000207,495.0,PAID,,15841.08,TX-FAXI1S9NPAXU
1000000208,470.0,PAID,,53905.5,TX-XR8ZBM8PE4L9
1000000209,460.0,PAID,,31692.0,TX-ADKEL21AA6Y8
1000000210,446.0,PAID,,17835.0,TX-FHAK7TJ2GWD8
1000000211,567.0,REFUNDED,,80803.8,TX-4S764623AHW9
1000000212,416.0,PAID,,15129.6,TX-W53ZG1IGAE7U
1000000213,109.0,PAID,,20557.5,TX-LPBS1GYAPNRR
1000000214,204.0,PAID,,28342.8,TX-T9LZX8UBES81
1000000215,32.0,PAID,,62628.15,TX-L8B7K0MHIHTF
1000000216,498.0,PAID,,19866.75,TX-1ZY6N78JP289
1000000217,98.0,PAID,,72554.62,TX-GIU5DSJNCTFT
1000000218,189.0,PAID,,39750.6,TX-U18MD3SZXDF0
1000000219,164.0,PAID,,54450.0,TX-4KBQ08F1IH6L
1000000220,630.0,PAID,,14694.0,TX-IDZYNING1FJ4
1000000221,493.0,PAID,,28459.2,TX-GOAPADJXH3W6
1000000222,244.0,PAID,,26136.0,TX-4FCM56J61UM0
1000000223,359.0,PAID,,27442.8,TX-9W04PDTIIHE1
1000000224,448.0,PAID,,50205.0,TX-SYTMXBV9MDPO
1000000225,585.0,PAID,,41164.2,TX-32II8K179YIX
1000000226,200.0,PAID,,36483.6,TX-7SRDV4EEHRDW
1000000227,202.0,PAID,,43888.8,TX-O8PHNCK5QDAD
1000000228,455.0,PAID,,43588.8,TX-KUBXDHQCLJXC
1000000229,,FAILED,,16335.0,
1000000230,365.0,PAID,,40104.0,TX-YX4B18B9QCL3
1000000231,162.0,PAID,,58072.5,TX-PX6B4626S2QQ
1000000232,419.0,PAID,,45892.56,TX-FRUXTNXJ8UWO
1000000233,327.0,PAID,,19050.0,TX-Z4JKA0J2NBI5
1000000234,516.0,PAID,,29659.2,TX-E47RHOW59Q7S
1000000235,,FAILED,,26136.0,
1000000236,372.0,PAID,,29040.0,TX-QF1ADFQ90QPH
1000000237,322.0,PAID,,43560.0,TX-WRZQE54PFMIC
1000000238,449.0,PAID,,25613.28,TX-9S9BHWO6L2MX
1000000239,52.0,PAID,,63408.6,TX-XL0GF8E59JMZ
1000000240,296.0,REFUNDED,,48090.0,TX-9A8F8BOR2KEG
1000000241,286.0,PAID,,71874.0,TX-QH1J5TAC9PFH
1000000242,,FAILED,,46023.24,
1000000243,527.0,PAID,,19965.0,TX-CUJ1U5XI18T1
1000000244,258.0,PAID,,24829.2,TX-9T0Z6M9ZMXZX
1000000245,495.0,REFUNDED,,48823.5,TX-6831FEZ0MSG1
1000000246,,FAILED,,74596.5,
1000000247,337.0,PAID,,19576.35,TX-HKUMCISYOXOM
1000000248,302.0,PAID,,13068.0,TX-RLOSALSUL8SN
1000000249,112.0,PAID,,47916.0,TX-NWGXV38PFITC
1000000250,268.0,PAID,,52955.25,TX-32B62346A4RY
1000000251,77.0,PAID,,41382.0,TX-PXPQUBPX8JRW
1000000252,62.0,PAID,,53361.0,TX-2XQZ21XG77FL
1000000253,482.0,REFUNDED,,56018.16,TX-SMD7KL9INTUO
1000000254,288.0,PAID,,25613.28,TX-YGMEXF9LO4ZZ
1000000255,227.0,PAID,,18687.0,TX-5LZ2L2E9EU0G
1000000256,275.0,PAID,,29659.2,TX-ATXAB0G3YVOL
1000000257,518.0,PAID,,70059.0,TX-5ZVOMXW3HB9E
1000000258,364.0,PAID,,35385.0,TX-YRH62E21TRBX
1000000259,616.0,REFUNDED,,32805.12,TX-3JF46DE7KIOS
1000000260,348.0,PAID,,41130.0,TX-XKQN8OY7GNJZ
1000000261,593.0,PAID,,29040.0,TX-2BYNCS5834BK
1000000262,325.0,PAID,,43588.8,TX-KVZBDGVVVVDK
1000000263,367.0,PAID,,49905.0,TX-SGWN0MODP9NU
1000000264,598.0,PAID,,69750.45,TX-M6XK7OX4ROYL
1000000265,120.0,PAID,,64468.56,TX-10MEATDUX63R
1000000266,494.0,PAID,,48325.95,TX-SWCAHKTWI9B8
1000000267,61.0,PAID,,33870.0,TX-RZNNWXSS3SVY
1000000268,,FAILED,,13794.0,
1000000269,,FAILED,,83617.05,
1000000270,47.0,PAID,,14229.6,TX-LUUJ7KEX5DEV
1000000271,44.0,REFUNDED,,87448.8,TX-0EOARRWWS4FZ
1000000272,301.0,PAID,,33144.0,TX-JNBZVFV991AC
1000000273,62.0,PAID,,43588.8,TX-ZV4TY9YKRZ1Y
1000000274,272.0,PAID,,77064.9,TX-3G5SMQ5UFK8U
1000000275,176.0,PAID,,27336.0,TX-217PFTPYBOR9
1000000276,514.0,PAID,,29040.0,TX-3TFMS12WBAKE
1000000277,288.0,PAID,,50820.0,TX-DWW8DXAJXMB5
1000000278,431.0,PAID,,27636.0,TX-WLX04XSBY2OU
1000000279,,FAILED,,54261.0,
1000000280,204.0,PAID,,33033.0,TX-DPUSQC38SEOO
1000000281,437.0,PAID,,54101.28,TX-NIFMPEOSO1F1
1000000282,364.0,PAID,,24422.4,TX-41Q6L4JDGJ8Y
1000000283,570.0,PAID,,16718.25,TX-70LGRPZRXEP4
1000000284,70.0,PAID,,70785.0,TX-5MN6SC6XSGAF
1000000285,,FAILED,,19350.0,
1000000286,195.0,PAID,,37074.0,TX-4U41TQZ1VFUJ
1000000287,535.0,PAID,,51727.5,TX-6ZHDQAIBHYHH
1000000288,399.0,PAID,,14229.6,TX-5HTY6XNGDJ56
1000000289,,FAILED,,90389.1,
1000000290,310.0,PAID,,105354.3,TX-71M8ECKC546R
1000000291,294.0,PAID,,56900.25,TX-9BYQ71UHA6F6
1000000292,486.0,PAID,,32270.7,TX-GUYG1JEV4IY4
1000000293,600.0,PAID,,27036.0,TX-0JPO94I4MWNA
1000000294,,FAILED,,44460.0,
1000000295,453.0,REFUNDED,,24829.2,TX-G4P93NYH90EN
1000000296,182.0,PAID,,18150.0,TX-E2KQ0B1VWNTV
1000000297,591.0,REFUNDED,,53361.0,TX-D2IGDXBZ392N
1000000298,311.0,PAID,,41382.0,TX-KXUNDMFZ5WW4
1000000299,129.0,PAID,,43560.0,TX-D8L8DJ0EK3LN
1000000300,324.0,PAID,,54633.6,TX-TR3GAE9DR5DB
1000000301,128.0,PAID,,29040.0,TX-KEOC6P3FKE5H
1000000302,,FAILED,,69507.0,
1000000303,79.0,PAID,,39204.0,TX-KJG7DP5ULP2X
1000000304,78.0,PAID,,119873.77,TX-TUYL0BU1IADY
1000000305,471.0,PAID,,31692.0,TX-B92HA6ELOUQX
1000000306,122.0,PAID,,83671.5,TX-GRX6A990BSH1
1000000307,257.0,PAID,,17835.0,TX-YZ8JG2RZGHXI
1000000308,89.0,PAID,,17835.0,TX-I5X65UM4YRV8
1000000309,,FAILED,,45738.0,
1000000310,370.0,PAID,,27636.0,TX-GF0G46U2SLZ2
1000000311,376.0,PAID,,36209.25,TX-A9VQNWCQTJVU
1000000312,421.0,PAID,,36209.25,TX-QYUOLNLPR9A6
1000000313,508.0,PAID,,71692.5,TX-9C70TRVTFMRM
1000000314,291.0,PAID,,33579.6,TX-H6DU9ZZ99VMH
1000000315,492.0,PAID,,54351.75,TX-QYEPJRF57CPL
1000000316,485.0,PAID,,71601.75,TX-T27JLLZ90Z23
1000000317,231.0,PAID,,37437.0,TX-A2B0X2VVI7AI
1000000318,281.0,PAID,,15246.0,TX-4JQTH0TPGOK6
1000000319,113.0,PAID,,15429.6,TX-EYD3MYNUEUVL
1000000320,598.0,PAID,,36592.5,TX-LNOJKNPN8S6G
1000000321,583.0,PAID,,94491.0,TX-6UL6ULM1T6I8
1000000322,326.0,PAID,,37243.8,TX-U4QP4ULPQP81
1000000323,460.0,PAID,,54711.36,TX-2P4LEW4P220X
1000000324,379.0,PAID,,69812.16,TX-90ZM8JKX2Y5L
1000000325,291.0,PAID,,28749.6,TX-O41OIMJGZ9AU
1000000326,170.0,PAID,,84070.8,TX-450XPOI73T2G
1000000327,375.0,PAID,,31082.16,TX-PK9VO8PM4Y2M
1000000328,408.0,PAID,,82239.75,TX-1KKTDNUMVEXG
1000000329,77.0,PAID,,44324.4,TX-XJH8KGYZM509
1000000330,351.0,PAID,,29040.0,TX-MFPVK4WYZIQO
1000000331,362.0,PAID,,68581.35,TX-2NWBAN52V58N
1000000332,627.0,PAID,,62547.0,TX-2LCHHCC5ZSNP
1000000333,,FAILED,,16552.56,
1000000334,494.0,PAID,,71341.2,TX-AACSM4V7B6LD
1000000335,44.0,PAID,,73691.1,TX-9VP4JS6NLM4G
1000000336,203.0,PAID,,47964.0,TX-MRUO0N85J0DK
1000000337,257.0,PAID,,17835.0,TX-FC0XEF6A9XCX
1000000338,85.0,REFUNDED,,47146.2,TX-5AQRJS9NPTPR
1000000339,,FAILED,,54561.0,
1000000340,220.0,PAID,,14268.0,TX-V49TDYF12CHD
1000000341,358.0,PAID,,30492.0,TX-1PO9O2M470N9
1000000342,283.0,PAID,,18142.5,TX-96NJWU73365R
1000000343,226.0,PAID,,27989.4,TX-V4W5NU4IN2KQ
1000000344,206.0,PAID,,41430.0,TX-6LR6SAKRAFFL
1000000345,123.0,PAID,,41164.2,TX-5WDA03DAZ3RW
1000000346,439.0,PAID,,41382.0,TX-GHB9NH3PF34H
1000000347,233.0,PAID,,54261.0,TX-HPYHX68YV2NP
1000000348,321.0,PAID,,12414.6,TX-YS1DUAFA0XRJ
1000000349,242.0,PAID,,44760.0,TX-QRSPPOBH9GCT
1000000350,80.0,PAID,,42688.8,TX-7YSX5TUAN5O2
1000000351,125.0,PAID,,32670.0,TX-P1YVFKXVQVAE
1000000352,413.0,PAID,,35203.5,TX-72J7IJ6LNY6W
1000000353,496.0,PAID,,41382.0,TX-Z4PE05SA9C2L
1000000354,496.0,PAID,,17172.0,TX-JVJ0I4RTQ0BX
1000000355,346.0,PAID,,50205.0,TX-XKJUPQVUBQEZ
1000000356,524.0,PAID,,53361.0,TX-X0GOPDIORXB6
1000000357,61.0,PAID,,14229.6,TX-AVPMX5L77IBR
1000000358,556.0,PAID,,34485.0,TX-OO36UD0CTY1C
1000000359,191.0,PAID,,35574.0,TX-49K5YJCOFNUM
1000000360,270.0,PAID,,62871.6,TX-04FI3D7JI6I8
1000000361,385.0,PAID,,72783.6,TX-K4RQJWOJWF50
1000000362,229.0,PAID,,43560.0,TX-8Q185GSCMNUU
1000000363,161.0,PAID,,13794.0,TX-I7T264W0HY3F
1000000364,597.0,PAID,,29882.16,TX-W7NHPGJX19EM
1000000365,600.0,REFUNDED,,81486.0,TX-4HUDSNJ53TIS
1000000366,564.0,PAID,,57529.05,TX-GH9Q7I2HKR65
1000000367,476.0,PAID,,33570.0,TX-SX52GWA654NV
1000000368,,FAILED,,27336.0,
1000000369,348.0,PAID,,39204.0,TX-XLY81XGJHK88
1000000370,598.0,PAID,,36209.25,TX-AQLDTMXEBGXP
1000000371,17.0,PAID,,37500.0,TX-28ZBJJAC9ONQ
1000000372,236.0,PAID,,15383.7,TX-1GLRAPDN3H4Q
1000000373,50.0,PAID,,16146.0,TX-P5CUJEXU4QVY
1000000374,473.0,PAID,,53361.0,TX-6F1QW90TPG97
1000000375,541.0,PAID,,18051.75,TX-E942HQFXCLQ0
1000000376,352.0,PAID,,51727.5,TX-WQT2EXWNSCI3
1000000377,218.0,PAID,,36300.0,TX-CD1W6RUD5WC9
1000000378,615.0,PAID,,49224.9,TX-LC6P0DRQFVFA
1000000379,535.0,PAID,,13968.0,TX-5DMUP1YVWQJ8
1000000380,166.0,PAID,,68534.4,TX-PGW00JYJ2DSA
1000000381,505.0,PAID,,80779.2,TX-QA1VIQ63F9HK
1000000382,175.0,PAID,,37800.0,TX-B4TSG0S0U50A
