fact_order_item_sk,order_item_bk,sales_order_bk,product_bk,quantity,first_price,total_amount
1,5000000000,,2,2,15000.0,30000.0
2,5000000001,,1,2,12000.0,24000.0
3,5000000002,,1,1,12000.0,12000.0
4,5000000003,,2,2,15000.0,30000.0
5,5000000004,,1,2,12600.0,25200.0
6,5000000005,,1,1,12000.0,12000.0
7,5000000006,,2,1,15000.0,15000.0
8,5000000007,,1,1,12000.0,12000.0
9,5000000008,,2,1,15000.0,15000.0
10,5000000009,,2,2,15750.0,31500.0
11,5000000010,,2,1,15000.0,15000.0
12,5000000011,,1,2,12000.0,24000.0
13,5000000012,,2,1,15000.0,15000.0
14,5000000013,,2,1,15000.0,15000.0
15,5000000014,,1,3,12000.0,36000.0
16,5000000015,,2,3,15000.0,45000.0
17,5000000016,,1,1,12600.0,12600.0
18,5000000017,,2,1,13500.0,13500.0
19,5000000018,,2,1,15000.0,15000.0
20,5000000019,,2,1,15000.0,15000.0
21,5000000020,,1,2,10800.0,21600.0
22,5000000021,,1,3,12000.0,36000.0
23,5000000022,,2,3,15750.0,47250.0
24,5000000023,,1,3,12000.0,36000.0
25,5000000024,,1,2,12000.0,24000.0
26,5000000025,,1,1,12000.0,12000.0
27,5000000026,,1,2,12000.0,24000.0
28,5000000027,,1,2,12600.0,25200.0
29,5000000028,,2,2,15750.0,31500.0
30,5000000029,,1,3,12000.0,36000.0
31,5000000030,,2,1,13500.0,13500.0
32,5000000031,,1,2,13200.0,26400.0
33,5000000032,,2,3,15000.0,45000.0
34,5000000033,,1,3,12600.0,37800.0
35,5000000034,,2,3,16500.0,49500.0
36,5000000035,,1,2,12000.0,24000.0
37,5000000036,,1,2,12000.0,24000.0
38,5000000037,,2,2,15000.0,30000.0
39,5000000038,,1,1,12000.0,12000.0
40,5000000039,,2,2,15000.0,30000.0
41,5000000040,,1,1,12000.0,12000.0
42,5000000041,,2,3,15750.0,47250.0
43,5000000042,,1,2,12600.0,25200.0
44,5000000043,,2,1,15000.0,15000.0
45,5000000044,,1,2,12000.0,24000.0
46,5000000045,,1,1,12000.0,12000.0
47,5000000046,,2,2,16500.0,33000.0
48,5000000047,,1,3,12000.0,36000.0
49,5000000048,,1,3,12000.0,36000.0
50,5000000049,,1,2,12000.0,24000.0
51,5000000050,,2,2,15000.0,30000.0
52,5000000051,,2,1,15000.0,15000.0
53,5000000052,,2,3,15750.0,47250.0
54,5000000053,,2,3,15000.0,45000.0
55,5000000054,,1,2,12000.0,24000.0
56,5000000055,,1,2,12000.0,24000.0
57,5000000056,,2,2,15000.0,30000.0
58,5000000057,,1,2,12600.0,25200.0
59,5000000058,,1,1,12000.0,12000.0
60,5000000059,,1,3,10800.0,32400.0
61,5000000060,,2,2,15000.0,30000.0
62,5000000061,,1,1,12000.0,12000.0
63,5000000062,,2,1,15000.0,15000.0
64,5000000063,,1,1,10800.0,10800.0
65,5000000064,,1,1,10800.0,10800.0
66,5000000065,,1,3,13200.0,39600.0
67,5000000066,,2,2,15000.0,30000.0
68,5000000067,,2,3,15000.0,45000.0
69,5000000068,,1,3,12000.0,36000.0
70,5000000069,,2,2,16500.0,33000.0
71,5000000070,,1,1,12000.0,12000.0
72,5000000071,,1,2,12000.0,24000.0
73,5000000072,,2,3,13500.0,40500.0
74,5000000073,,2,2,15000.0,30000.0
75,5000000074,,2,2,15750.0,31500.0
76,5000000075,,1,3,12000.0,36000.0
77,5000000076,,1,3,12000.0,36000.0
78,5000000077,,2,2,15000.0,30000.0
79,5000000078,,1,1,12600.0,12600.0
80,5000000079,,2,3,15000.0,45000.0
81,5000000080,,1,2,12000.0,24000.0
82,5000000081,,2,3,16500.0,49500.0
83,5000000082,,2,1,15000.0,15000.0
84,5000000083,,2,1,15750.0,15750.0
85,5000000084,,2,1,16500.0,16500.0
86,5000000085,,2,2,15000.0,30000.0
87,5000000086,,1,3,12000.0,36000.0
88,5000000087,,2,2,15000.0,30000.0
89,5000000088,,1,3,10800.0,32400.0
90,5000000089,,1,1,12000.0,12000.0
91,5000000090,,2,3,15000.0,45000.0
92,5000000091,,1,3,12600.0,37800.0
93,5000000092,,2,1,16500.0,16500.0
94,5000000093,,1,3,12000.0,36000.0
95,5000000094,,1,3,12000.0,36000.0
96,5000000095,,2,1,15000.0,15000.0
97,5000000096,,2,1,15750.0,15750.0
98,5000000097,,1,2,12000.0,24000.0
99,5000000098,,2,3,15000.0,45000.0
100,5000000099,,2,3,15000.0,45000.0
101,5000000100,,1,1,12000.0,12000.0
102,5000000101,,1,1,12000.0,12000.0
103,5000000102,,2,1,13500.0,13500.0
104,5000000103,,2,1,15750.0,15750.0
105,5000000104,,1,2,12600.0,25200.0
106,5000000105,,1,3,12000.0,36000.0
107,5000000106,,2,2,15000.0,30000.0
108,5000000107,,1,2,12000.0,24000.0
109,5000000108,,1,2,12000.0,24000.0
110,5000000109,,2,1,15000.0,15000.0
111,5000000110,,1,2,13200.0,26400.0
112,5000000111,,1,1,10800.0,10800.0
113,5000000112,,1,2,12000.0,24000.0
114,5000000113,,2,1,15000.0,15000.0
115,5000000114,,1,2,12000.0,24000.0
116,5000000115,,2,2,15000.0,30000.0
117,5000000116,,1,3,12000.0,36000.0
118,5000000117,,2,1,16500.0,16500.0
119,5000000118,,1,2,12000.0,24000.0
120,5000000119,,2,1,15000.0,15000.0
121,5000000120,,1,1,12600.0,12600.0
122,5000000121,,1,1,12000.0,12000.0
123,5000000122,,1,1,12000.0,12000.0
124,5000000123,,2,2,15000.0,30000.0
125,5000000124,,2,2,15000.0,30000.0
126,5000000125,,2,1,15000.0,15000.0
127,5000000126,,1,2,12000.0,24000.0
128,5000000127,,2,1,13500.0,13500.0
129,5000000128,,2,3,15750.0,47250.0
130,5000000129,,2,3,15750.0,47250.0
131,5000000130,,2,2,15000.0,30000.0
132,5000000131,,2,3,15000.0,45000.0
133,5000000132,,1,2,12000.0,24000.0
134,5000000133,,2,1,16500.0,16500.0
135,5000000134,,1,3,12000.0,36000.0
136,5000000135,,2,3,13500.0,40500.0
137,5000000136,,2,3,16500.0,49500.0
138,5000000137,,1,3,12000.0,36000.0
139,5000000138,,2,1,15750.0,15750.0
140,5000000139,,1,3,12600.0,37800.0
141,5000000140,,1,1,12000.0,12000.0
142,5000000141,,1,1,10800.0,10800.0
143,5000000142,,1,1,12600.0,12600.0
144,5000000143,,1,3,12000.0,36000.0
145,5000000144,,1,3,12000.0,36000.0
146,5000000145,,1,3,10800.0,32400.0
147,5000000146,,2,2,15000.0,30000.0
148,5000000147,,1,2,12000.0,24000.0
149,5000000148,,2,1,15000.0,15000.0
150,5000000149,,1,3,12600.0,37800.0
151,5000000150,,2,3,15750.0,47250.0
152,5000000151,,1,2,12000.0,24000.0
153,5000000152,,1,1,12000.0,12000.0
154,5000000153,,1,2,12000.0,24000.0
155,5000000154,,2,3,16500.0,49500.0
156,5000000155,,2,1,15750.0,15750.0
157,5000000156,,1,3,12600.0,37800.0
158,5000000157,,2,3,15000.0,45000.0
159,5000000158,,1,1,13200.0,13200.0
160,5000000159,,1,1,10800.0,10800.0
161,5000000160,,1,2,12000.0,24000.0
162,5000000161,,1,3,13200.0,39600.0
163,5000000162,,1,2,12000.0,24000.0
164,5000000163,,1,3,13200.0,39600.0
165,5000000164,,2,1,15000.0,15000.0
166,5000000165,,1,1,12000.0,12000.0
167,5000000166,,1,3,13200.0,39600.0
168,5000000167,,1,3,12000.0,36000.0
169,5000000168,,2,1,15000.0,15000.0
170,5000000169,,1,1,10800.0,10800.0
171,5000000170,,2,3,15000.0,45000.0
172,5000000171,,2,3,15000.0,45000.0
173,5000000172,,1,1,12000.0,12000.0
174,5000000173,,2,1,15000.0,15000.0
175,5000000174,,2,2,15000.0,30000.0
176,5000000175,,2,2,15750.0,31500.0
