order_bk,carrier,tracking_number,shipped_date_sk,delivered_date_sk,is_delivered
1000000000,Correo Argentino,TRK-LM6S0ZIUQ6,332.0,335.0,1
1000000001,Correo Argentino,TRK-S7JYRIGG48,32.0,36.0,1
1000000002,Correo Argentino,TRK-YI8R5NTIPW,424.0,426.0,1
1000000003,Correo Argentino,TRK-UWNN6LXYNU,427.0,431.0,1
1000000004,PICKUP,,90.0,91.0,1
1000000005,PICKUP,,72.0,73.0,1
1000000006,Correo Argentino,TRK-UCA7R6D2X6,563.0,567.0,1
1000000007,Correo Argentino,TRK-EEAFDZHDID,317.0,320.0,1
1000000008,Correo Argentino,TRK-99ZZCRAXY6,239.0,241.0,1
1000000009,Correo Argentino,TRK-M4QI31HO4X,91.0,94.0,1
1000000010,PICKUP,,73.0,74.0,1
1000000011,PICKUP,,534.0,535.0,1
1000000012,PICKUP,,222.0,223.0,1
1000000013,PICKUP,,448.0,449.0,1
1000000014,Correo Argentino,TRK-TEL745CSF0,597.0,602.0,1
1000000015,Correo Argentino,,,,0
1000000016,Correo Argentino,TRK-2QJED48Q5H,606.0,611.0,1
1000000017,PICKUP,,416.0,417.0,1
1000000018,Correo Argentino,,,,0
1000000019,Correo Argentino,TRK-LU2ZLGLEOH,478.0,482.0,1
1000000020,Correo Argentino,TRK-UD7KW642LM,128.0,132.0,1
1000000021,Correo Argentino,TRK-4588YSVCZA,633.0,635.0,1
1000000022,PICKUP,,91.0,92.0,1
1000000023,PICKUP,,552.0,553.0,1
1000000024,PICKUP,,427.0,428.0,1
1000000025,Correo Argentino,TRK-YJMLEQMJ1S,605.0,609.0,1
1000000026,Correo Argentino,TRK-IWZB9131BN,348.0,351.0,1
1000000027,Correo Argentino,TRK-F7ZF8SQ633,338.0,341.0,1
1000000028,Correo Argentino,TRK-NW8EX6WAQP,139.0,143.0,1
1000000029,Correo Argentino,TRK-SNH0E9H2BV,624.0,629.0,1
1000000030,PICKUP,,526.0,527.0,1
1000000031,PICKUP,,496.0,497.0,1
1000000032,Correo Argentino,TRK-AF3QHYH0G0,441.0,443.0,1
1000000033,PICKUP,,160.0,161.0,1
1000000034,PICKUP,,322.0,323.0,1
1000000035,PICKUP,,12.0,13.0,1
1000000036,Correo Argentino,TRK-JI1IJOL9GD,269.0,272.0,1
1000000037,Correo Argentino,TRK-B103OLM2ZZ,27.0,31.0,1
1000000038,PICKUP,,33.0,34.0,1
1000000039,PICKUP,,144.0,145.0,1
1000000040,Correo Argentino,,,,0
1000000041,PICKUP,,14.0,15.0,1
1000000042,Correo Argentino,TRK-T6YEYXIY47,272.0,274.0,1
1000000043,Correo Argentino,TRK-4BKBFC142A,143.0,148.0,1
1000000044,Correo Argentino,TRK-OE8JOVHWT3,612.0,614.0,1
1000000045,Correo Argentino,TRK-78RSWE9YNS,33.0,38.0,1
1000000046,Correo Argentino,TRK-ENFRRYBCN7,13.0,17.0,1
1000000047,PICKUP,,68.0,69.0,1
1000000048,PICKUP,,257.0,258.0,1
1000000049,PICKUP,,224.0,225.0,1
1000000050,Correo Argentino,TRK-2UFL9MQ11P,208.0,212.0,1
1000000051,Correo Argentino,TRK-TL9JNTSSQA,260.0,263.0,1
1000000052,Correo Argentino,TRK-RK6C2JA3AN,310.0,312.0,1
1000000053,Correo Argentino,,,,0
1000000054,PICKUP,,76.0,77.0,1
1000000055,PICKUP,,570.0,571.0,1
1000000056,Correo Argentino,TRK-F94E82XEU7,469.0,472.0,1
1000000057,PICKUP,,418.0,419.0,1
1000000058,Correo Argentino,,,,0
1000000059,Correo Argentino,TRK-GYMRRQSRNH,184.0,189.0,1
1000000060,PICKUP,,,,0
1000000061,Correo Argentino,TRK-1JVAA08D71,427.0,430.0,1
1000000062,PICKUP,,358.0,359.0,1
1000000063,Correo Argentino,TRK-4QRWG4O3VS,152.0,154.0,1
1000000064,Correo Argentino,TRK-GHR4X51MO5,430.0,432.0,1
1000000065,Correo Argentino,TRK-Y0WLIWLAP3,262.0,266.0,1
1000000066,Correo Argentino,,,,0
1000000067,Correo Argentino,TRK-WPHKOKPY98,468.0,473.0,1
1000000068,Correo Argentino,TRK-95ADJ6QXJ8,337.0,340.0,1
1000000069,Correo Argentino,TRK-75UERJVV88,165.0,170.0,1
1000000070,Correo Argentino,TRK-SHAJ4MH7LK,573.0,577.0,1
1000000071,PICKUP,,204.0,205.0,1
1000000072,Correo Argentino,TRK-NH83FI4OJA,34.0,39.0,1
1000000073,Correo Argentino,TRK-3BTEYU6C8K,343.0,346.0,1
1000000074,Correo Argentino,TRK-NQPTS0MMBB,350.0,356.0,1
1000000075,Correo Argentino,TRK-A7O7MMZ1H4,448.0,452.0,1
1000000076,Correo Argentino,TRK-Z56VK3U0QJ,62.0,64.0,1
1000000077,PICKUP,,339.0,340.0,1
1000000078,Correo Argentino,TRK-N8XZ4OSU2M,376.0,379.0,1
1000000079,Correo Argentino,TRK-XADN2TVDNH,626.0,630.0,1
1000000080,Correo Argentino,TRK-S1OQO0J4EA,317.0,322.0,1
1000000081,Correo Argentino,TRK-LSXL8NV9UZ,400.0,403.0,1
