session_bk,customer_sk,channel_sk,started_date_sk,ended_date_sk,device,is_ended
11000000000,791.0,,33,33.0,desktop,1
11000000001,332.0,,573,573.0,desktop,1
11000000002,,,156,156.0,mobile,1
11000000003,771.0,,84,84.0,mobile,1
11000000004,908.0,,235,235.0,mobile,1
11000000005,1222.0,,82,82.0,mobile,1
11000000006,490.0,,277,277.0,mobile,1
11000000007,705.0,,285,285.0,mobile,1
11000000008,1161.0,,436,436.0,mobile,1
11000000009,841.0,,121,121.0,mobile,1
11000000010,,,480,481.0,mobile,1
11000000011,162.0,,40,40.0,mobile,1
11000000012,,,65,,mobile,0
11000000013,1477.0,,623,623.0,mobile,1
11000000014,,,164,164.0,mobile,1
11000000015,60.0,,606,606.0,desktop,1
11000000016,520.0,,82,82.0,mobile,1
11000000017,,,307,307.0,desktop,1
11000000018,,,97,98.0,mobile,1
11000000019,,,159,159.0,desktop,1
11000000020,575.0,,149,149.0,mobile,1
11000000021,508.0,,483,484.0,desktop,1
11000000022,,,384,384.0,mobile,1
11000000023,,,169,169.0,desktop,1
11000000024,99.0,,224,224.0,mobile,1
11000000025,1277.0,,480,480.0,mobile,1
11000000026,,,2,,mobile,0
11000000027,95.0,,489,489.0,tablet,1
11000000028,1286.0,,451,451.0,mobile,1
11000000029,1176.0,,67,67.0,mobile,1
11000000030,1053.0,,275,275.0,desktop,1
11000000031,290.0,,209,209.0,mobile,1
11000000032,357.0,,17,17.0,mobile,1
11000000033,391.0,,5,5.0,mobile,1
11000000034,830.0,,608,608.0,desktop,1
11000000035,1076.0,,569,569.0,desktop,1
11000000036,,,201,201.0,mobile,1
11000000037,622.0,,375,375.0,desktop,1
11000000038,990.0,,495,495.0,mobile,1
11000000039,902.0,,471,471.0,desktop,1
11000000040,572.0,,570,,mobile,0
11000000041,1088.0,,22,22.0,mobile,1
11000000042,1101.0,,314,314.0,mobile,1
11000000043,833.0,,152,152.0,mobile,1
11000000044,,,155,155.0,mobile,1
11000000045,1371.0,,363,363.0,mobile,1
11000000046,1090.0,,180,180.0,mobile,1
11000000047,250.0,,416,416.0,mobile,1
11000000048,135.0,,585,585.0,desktop,1
11000000049,334.0,,329,329.0,mobile,1
11000000050,779.0,,585,585.0,mobile,1
11000000051,1396.0,,24,24.0,desktop,1
11000000052,,,75,75.0,mobile,1
11000000053,,,541,541.0,mobile,1
11000000054,732.0,,454,454.0,mobile,1
11000000055,1267.0,,528,528.0,desktop,1
11000000056,298.0,,334,334.0,mobile,1
11000000057,933.0,,293,293.0,mobile,1
11000000058,550.0,,56,56.0,desktop,1
11000000059,,,122,122.0,mobile,1
11000000060,342.0,,534,534.0,mobile,1
11000000061,568.0,,9,,mobile,0
11000000062,498.0,,236,236.0,tablet,1
11000000063,,,410,410.0,mobile,1
11000000064,1109.0,,583,583.0,desktop,1
11000000065,1211.0,,200,200.0,mobile,1
11000000066,1443.0,,362,362.0,mobile,1
11000000067,811.0,,275,275.0,desktop,1
11000000068,1160.0,,589,,desktop,0
11000000069,455.0,,90,90.0,mobile,1
11000000070,601.0,,160,160.0,mobile,1
11000000071,431.0,,244,244.0,mobile,1
11000000072,,,103,103.0,desktop,1
